Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
2,5,2,64,gini,GP_greater_than_0,68.91679748822605,60.73298429319372
4,5,2,64,gini,GP_greater_than_0,75.82417582417582,64.92146596858639
6,5,2,64,gini,GP_greater_than_0,82.73155416012558,63.87434554973822
8,5,2,64,gini,GP_greater_than_0,78.80690737833595,62.82722513089005
12,5,2,64,gini,GP_greater_than_0,82.26059654631082,65.96858638743456
15,5,2,64,gini,GP_greater_than_0,77.86499215070644,63.87434554973822
23,5,2,64,gini,GP_greater_than_0,79.12087912087912,63.87434554973822
