Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
5,3,2,1,gini,GP_greater_than_0,67.03296703296702,61.78010471204188
6,3,2,1,gini,GP_greater_than_0,65.62009419152275,58.63874345549738
5,4,2,1,gini,GP_greater_than_0,68.4458398744113,57.06806282722513
6,4,2,1,gini,GP_greater_than_0,69.70172684458399,62.30366492146597
5,3,2,2,gini,GP_greater_than_0,62.637362637362635,57.06806282722513
6,3,2,2,gini,GP_greater_than_0,63.26530612244898,60.73298429319372
5,4,2,2,gini,GP_greater_than_0,67.97488226059654,62.82722513089005
6,4,2,2,gini,GP_greater_than_0,64.05023547880691,58.1151832460733
