Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
5,5,2,16,variance,sum_7yr_GP,13233.266315,12179.1806997
8,5,2,16,variance,sum_7yr_GP,13093.0897824,12258.8582283
10,5,2,16,variance,sum_7yr_GP,13140.7489203,12104.4314079
15,5,2,16,variance,sum_7yr_GP,13120.7539353,12179.0659712
23,5,2,16,variance,sum_7yr_GP,13050.3032778,12179.2724512
2,8,2,16,variance,sum_7yr_GP,13288.2140227,12258.6048204
5,8,2,16,variance,sum_7yr_GP,13233.266315,12179.1806997
8,8,2,16,variance,sum_7yr_GP,13093.0897824,12258.8582283
10,8,2,16,variance,sum_7yr_GP,13140.7489203,12104.4314079
15,8,2,16,variance,sum_7yr_GP,13120.7539353,12179.0659712
23,8,2,16,variance,sum_7yr_GP,13050.3032778,12179.2724512
2,10,2,16,variance,sum_7yr_GP,13288.2140227,12258.6048204
5,10,2,16,variance,sum_7yr_GP,13233.266315,12179.1806997
8,10,2,16,variance,sum_7yr_GP,13093.0897824,12258.8582283
10,10,2,16,variance,sum_7yr_GP,13140.7489203,12104.4314079
15,10,2,16,variance,sum_7yr_GP,13120.7539353,12179.0659712
23,10,2,16,variance,sum_7yr_GP,13050.3032778,12179.2724512
2,15,2,16,variance,sum_7yr_GP,13288.2140227,12258.6048204
5,15,2,16,variance,sum_7yr_GP,13233.266315,12179.1806997
8,15,2,16,variance,sum_7yr_GP,13093.0897824,12258.8582283
10,15,2,16,variance,sum_7yr_GP,13140.7489203,12104.4314079
15,15,2,16,variance,sum_7yr_GP,13120.7539353,12179.0659712
23,15,2,16,variance,sum_7yr_GP,13050.3032778,12179.2724512
2,20,2,16,variance,sum_7yr_GP,13288.2140227,12258.6048204
5,20,2,16,variance,sum_7yr_GP,13233.266315,12179.1806997
8,20,2,16,variance,sum_7yr_GP,13093.0897824,12258.8582283
10,20,2,16,variance,sum_7yr_GP,13140.7489203,12104.4314079
15,20,2,16,variance,sum_7yr_GP,13120.7539353,12179.0659712
23,20,2,16,variance,sum_7yr_GP,13050.3032778,12179.2724512
2,2,2,32,variance,sum_7yr_GP,13392.1339878,12388.1742134
5,2,2,32,variance,sum_7yr_GP,13245.6343014,12300.5982313
8,2,2,32,variance,sum_7yr_GP,13204.4473139,12218.3403302
10,2,2,32,variance,sum_7yr_GP,13198.5674214,12104.6535306
15,2,2,32,variance,sum_7yr_GP,13195.062299,12141.3206082
23,2,2,32,variance,sum_7yr_GP,13179.8072753,12300.7494389
2,5,2,32,variance,sum_7yr_GP,13378.8046772,12388.035791
5,5,2,32,variance,sum_7yr_GP,13226.4329741,12179.1795441
8,5,2,32,variance,sum_7yr_GP,13155.385826,12300.6119074
10,5,2,32,variance,sum_7yr_GP,13177.0252299,12179.0675638
15,5,2,32,variance,sum_7yr_GP,13119.2371801,12258.8838962
23,5,2,32,variance,sum_7yr_GP,13044.3982686,12179.2372257
2,8,2,32,variance,sum_7yr_GP,13378.8046772,12388.035791
5,8,2,32,variance,sum_7yr_GP,13226.4329741,12179.1795441
8,8,2,32,variance,sum_7yr_GP,13155.385826,12300.6119074
10,8,2,32,variance,sum_7yr_GP,13177.0252299,12179.0675638
15,8,2,32,variance,sum_7yr_GP,13119.2371801,12258.8838962
23,8,2,32,variance,sum_7yr_GP,13044.3982686,12179.2372257
2,10,2,32,variance,sum_7yr_GP,13378.8046772,12388.035791
5,10,2,32,variance,sum_7yr_GP,13226.4329741,12179.1795441
8,10,2,32,variance,sum_7yr_GP,13155.385826,12300.6119074
10,10,2,32,variance,sum_7yr_GP,13177.0252299,12179.0675638
15,10,2,32,variance,sum_7yr_GP,13119.2371801,12258.8838962
23,10,2,32,variance,sum_7yr_GP,13044.3982686,12179.2372257
2,15,2,32,variance,sum_7yr_GP,13378.8046772,12388.035791
5,15,2,32,variance,sum_7yr_GP,13226.4329741,12179.1795441
8,15,2,32,variance,sum_7yr_GP,13155.385826,12300.6119074
10,15,2,32,variance,sum_7yr_GP,13177.0252299,12179.0675638
15,15,2,32,variance,sum_7yr_GP,13119.2371801,12258.8838962
23,15,2,32,variance,sum_7yr_GP,13044.3982686,12179.2372257
2,20,2,32,variance,sum_7yr_GP,13378.8046772,12388.035791
