Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
23,8,2,16,gini,GP_greater_than_0,91.99372056514915,63.35078534031413
2,10,2,16,gini,GP_greater_than_0,93.09262166405023,64.92146596858639
5,10,2,16,gini,GP_greater_than_0,94.81946624803767,67.5392670157068
8,10,2,16,gini,GP_greater_than_0,97.01726844583987,68.58638743455498
10,10,2,16,gini,GP_greater_than_0,97.48822605965462,64.92146596858639
15,10,2,16,gini,GP_greater_than_0,97.8021978021978,67.01570680628272
23,10,2,16,gini,GP_greater_than_0,97.01726844583987,66.49214659685863
2,15,2,16,gini,GP_greater_than_0,99.52904238618524,62.82722513089005
5,15,2,16,gini,GP_greater_than_0,100.0,65.96858638743456
8,15,2,16,gini,GP_greater_than_0,100.0,68.58638743455498
10,15,2,16,gini,GP_greater_than_0,100.0,67.5392670157068
15,15,2,16,gini,GP_greater_than_0,100.0,62.30366492146597
23,15,2,16,gini,GP_greater_than_0,100.0,65.44502617801047
2,20,2,16,gini,GP_greater_than_0,99.68602825745683,65.44502617801047
5,20,2,16,gini,GP_greater_than_0,100.0,64.92146596858639
8,20,2,16,gini,GP_greater_than_0,100.0,69.10994764397905
10,20,2,16,gini,GP_greater_than_0,100.0,64.3979057591623
15,20,2,16,gini,GP_greater_than_0,100.0,65.96858638743456
23,20,2,16,gini,GP_greater_than_0,99.84301412872841,63.87434554973822
2,2,2,32,gini,GP_greater_than_0,59.02668759811617,58.1151832460733
5,2,2,32,gini,GP_greater_than_0,64.2072213500785,56.54450261780105
8,2,2,32,gini,GP_greater_than_0,62.95133437990581,57.06806282722513
10,2,2,32,gini,GP_greater_than_0,63.73626373626373,57.06806282722513
15,2,2,32,gini,GP_greater_than_0,63.108320251177396,57.06806282722513
23,2,2,32,gini,GP_greater_than_0,63.42229199372057,56.54450261780105
2,5,2,32,gini,GP_greater_than_0,69.5447409733124,61.78010471204188
5,5,2,32,gini,GP_greater_than_0,79.27786499215071,68.58638743455498
8,5,2,32,gini,GP_greater_than_0,78.1789638932496,63.35078534031413
10,5,2,32,gini,GP_greater_than_0,79.90580847723704,67.01570680628272
15,5,2,32,gini,GP_greater_than_0,77.86499215070644,63.87434554973822
23,5,2,32,gini,GP_greater_than_0,79.12087912087912,64.3979057591623
2,8,2,32,gini,GP_greater_than_0,87.91208791208791,65.96858638743456
5,8,2,32,gini,GP_greater_than_0,92.62166405023548,69.63350785340315
8,8,2,32,gini,GP_greater_than_0,91.67974882260597,66.49214659685863
10,8,2,32,gini,GP_greater_than_0,92.15070643642072,64.92146596858639
15,8,2,32,gini,GP_greater_than_0,93.4065934065934,67.5392670157068
23,8,2,32,gini,GP_greater_than_0,92.93563579277865,64.92146596858639
2,10,2,32,gini,GP_greater_than_0,94.66248037676608,65.44502617801047
5,10,2,32,gini,GP_greater_than_0,97.01726844583987,68.06282722513089
8,10,2,32,gini,GP_greater_than_0,97.95918367346938,67.5392670157068
10,10,2,32,gini,GP_greater_than_0,97.17425431711146,65.96858638743456
15,10,2,32,gini,GP_greater_than_0,98.27315541601256,69.63350785340315
23,10,2,32,gini,GP_greater_than_0,96.86028257456829,65.96858638743456
2,15,2,32,gini,GP_greater_than_0,99.84301412872841,65.96858638743456
5,15,2,32,gini,GP_greater_than_0,100.0,68.58638743455498
8,15,2,32,gini,GP_greater_than_0,100.0,67.01570680628272
10,15,2,32,gini,GP_greater_than_0,100.0,66.49214659685863
15,15,2,32,gini,GP_greater_than_0,100.0,64.92146596858639
23,15,2,32,gini,GP_greater_than_0,100.0,65.96858638743456
2,20,2,32,gini,GP_greater_than_0,99.68602825745683,67.5392670157068
5,20,2,32,gini,GP_greater_than_0,100.0,65.96858638743456
8,20,2,32,gini,GP_greater_than_0,100.0,63.35078534031413
10,20,2,32,gini,GP_greater_than_0,100.0,63.35078534031413
15,20,2,32,gini,GP_greater_than_0,100.0,64.3979057591623
23,20,2,32,gini,GP_greater_than_0,100.0,65.44502617801047
2,2,2,64,gini,GP_greater_than_0,59.49764521193093,57.06806282722513
5,2,2,64,gini,GP_greater_than_0,64.05023547880691,57.06806282722513
8,2,2,64,gini,GP_greater_than_0,62.95133437990581,57.06806282722513
10,2,2,64,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
15,2,2,64,gini,GP_greater_than_0,63.26530612244898,57.06806282722513
23,2,2,64,gini,GP_greater_than_0,63.42229199372057,56.54450261780105
2,5,2,64,gini,GP_greater_than_0,68.91679748822605,60.73298429319372
5,5,2,64,gini,GP_greater_than_0,81.4756671899529,67.01570680628272
8,5,2,64,gini,GP_greater_than_0,78.80690737833595,62.82722513089005
10,5,2,64,gini,GP_greater_than_0,81.78963893249608,65.44502617801047
15,5,2,64,gini,GP_greater_than_0,77.86499215070644,63.87434554973822
23,5,2,64,gini,GP_greater_than_0,79.12087912087912,63.87434554973822
2,8,2,64,gini,GP_greater_than_0,89.79591836734694,67.5392670157068
5,8,2,64,gini,GP_greater_than_0,93.24960753532181,67.5392670157068
8,8,2,64,gini,GP_greater_than_0,93.56357927786499,68.06282722513089
10,8,2,64,gini,GP_greater_than_0,93.09262166405023,67.5392670157068
15,8,2,64,gini,GP_greater_than_0,94.19152276295134,66.49214659685863
23,8,2,64,gini,GP_greater_than_0,93.09262166405023,63.87434554973822
2,10,2,64,gini,GP_greater_than_0,96.23233908948194,69.10994764397905
5,10,2,64,gini,GP_greater_than_0,97.64521193092621,67.5392670157068
8,10,2,64,gini,GP_greater_than_0,97.8021978021978,64.92146596858639
10,10,2,64,gini,GP_greater_than_0,98.11616954474097,65.96858638743456
15,10,2,64,gini,GP_greater_than_0,98.11616954474097,68.58638743455498
23,10,2,64,gini,GP_greater_than_0,97.17425431711146,68.58638743455498
2,15,2,64,gini,GP_greater_than_0,99.84301412872841,71.20418848167539
5,15,2,64,gini,GP_greater_than_0,100.0,68.06282722513089
8,15,2,64,gini,GP_greater_than_0,100.0,65.96858638743456
10,15,2,64,gini,GP_greater_than_0,100.0,67.5392670157068
15,15,2,64,gini,GP_greater_than_0,100.0,67.5392670157068
23,15,2,64,gini,GP_greater_than_0,100.0,69.10994764397905
2,20,2,64,gini,GP_greater_than_0,100.0,70.15706806282722
5,20,2,64,gini,GP_greater_than_0,100.0,66.49214659685863
8,20,2,64,gini,GP_greater_than_0,100.0,67.01570680628272
10,20,2,64,gini,GP_greater_than_0,100.0,64.3979057591623
15,20,2,64,gini,GP_greater_than_0,100.0,67.01570680628272
23,20,2,64,gini,GP_greater_than_0,100.0,64.92146596858639
2,2,2,128,gini,GP_greater_than_0,59.183673469387756,58.1151832460733
5,2,2,128,gini,GP_greater_than_0,64.05023547880691,57.06806282722513
8,2,2,128,gini,GP_greater_than_0,63.57927786499214,57.06806282722513
